artist,old_style,new_style,file_changed
"LE F","house / mélodique","techno / house","index.html"
"AMR","house","hard trance / hard techno","index.html"
"DICE B2B KØ:LAB","drum & bass","hard trance / techno","index.html"
"DLN","techno","hard trance / hard techno","index.html"
"JEJEJE","techno","hard techno / hard trance","index.html"
"RV","techno","hard trance / hard techno","index.html"
"SAMUEL MORIERO","hard techno","hard techno / industrial","index.html"
"SLVL B2B USH","hard techno","industrial hard techno","index.html"
"ROGS","house / electro","electro / tech house","index.html"
"NOOPS","house / electro","non vérifié","index.html"
"FLINS","house / melodic","techno","index.html"
"SORAÄ","hard techno","hard techno / industrial","index.html"
"FIIKRA B2B OTAH","hard techno","acid techno / tekno","index.html"
"PINOTELLO","bass music","uptempo / hardcore","index.html"
"KARA","bass music","drum & bass / jungle","index.html"
"KSLTECH","hard techno","hard techno / industrial","index.html"
"SLACKREB","hard techno","hard trance / hard groove","index.html"
"BØDRU B2B FURIOUS","hard techno","hard techno / hard trance","index.html"
"DISRUPT TCHAÏ B2B VINZZ","hard techno / rave","techno / hardcore","index.html"
